,station,district,ints,Lat,Long
94,Coyoacán,Coyoacán,1,19.36156242,-99.1707849
95,Jamaica,Venustiano Carranza,2,19.41112432,-99.1215219
96,La Raza,Gustavo A. Madero,2,19.4698487,-99.1365206
97,Viveros/Derechos Humanos,Coyoacán,1,19.35426668,-99.17536409
98,Miguel Ángel de Quevedo,Coyoacán,1,19.34644352,-99.18047713
99,Chapultepec,Miguel Hidalgo,1,19.4206528,-99.17692436
100,Obrera,Cuauhtémoc,1,19.41312279,-99.1439295
101,Allende,Cuauhtémoc,1,19.43591562,-99.13685366
102,Zócalo/Tenochtitlan,Cuauhtémoc,1,19.43260264,-99.13222347
103,Nativitas,Benito Juárez,1,19.37970868,-99.14023145
104,Boulevard Puerto Aéreo,Venustiano Carranza,1,19.42134193,-99.09559697
105,Sevilla,Benito Juárez,1,19.42172763,-99.17092969
106,Villa de Cortés,Benito Juárez,1,19.38760429,-99.13876731
107,Consulado,Venustiano Carranza,2,19.45815121,-99.11390763
108,Talismán,Gustavo A. Madero,1,19.47414769,-99.10792179
109,Valle Gómez,Venustiano Carranza,1,19.45910407,-99.11947723
110,Politécnico,Gustavo A. Madero,1,19.50080394,-99.14922687
111,Niños Héroes,Benito Juárez,1,19.41958089,-99.15038
112,Hospital General,Cuauhtémoc,1,19.413932,-99.15322855
113,Tasqueña,Coyoacán,1,19.34389508,-99.13948874
114,Potrero,Gustavo A. Madero,1,19.4773422,-99.1320093
115,Tlatelolco,Cuauhtémoc,1,19.45522707,-99.14315382
116,Balbuena,Venustiano Carranza,1,19.42354375,-99.10246987
117,Tepito,Cuauhtémémoc,1,19.44301632,-99.12417011
118,Merced,Cuauhtémoc,1,19.42880238,-99.12514363
119,Insurgentes,Cuauhtémoc,1,19.37636355,-99.17904072
120,Juanacatlán,Cuajimalpa,1,19.41316181,-99.18203426
121,Plaza Aragón,Ecatepec,1,19.52870985,-99.03017328
122,Guelatao,Iztapalapa,1,19.38533627,-99.03562282
123,Lagunilla,Cuauhtémoc,1,19.44378973,-99.13726807
124,La Paz,La Paz (Estado de México),1,19.35088633,-98.96100293
125,Iztapalapa,Iztapalapa,1,19.35791341,-99.09330116
126,Patriotismo,Benito Juárez,1,19.41373789,-99.17877289
127,Cerro de la Estrella,Iztapalapa,1,19.35622206,-99.08562
128,Zapotitlán,Tláhuac,1,19.29699056,-99.03448011
129,Nopalera,Tláhuac,1,19.3002509,-99.04597223
130,Olivos,Tláhuac,1,19.304563,-99.05955292
131,Río de los Remedios,Gustavo A. Madero,1,19.49080734,-99.04651832
132,Múzquiz,Gustavo A. Madero,1,19.50172259,-99.04213438
133,Atlalilco,Iztapalapa,2,19.35628,-99.10113398
134,Tezonco,Iztapalapa,1,19.30647037,-99.06525227
135,Impulsora,Nezahualcóyotl,1,19.48579048,-99.04906459
136,Escuadrón 201,Nezahualcóyotl,1,19.36479434,-99.10921855
137,Periférico Oriente,Nezahualcóyotl,1,19.31770648,-99.0742148
138,Iztacalco,Iztacalco,1,19.38888283,-99.112122
139,Tláhuac,Tláhuac,1,19.28602612,-99.01397488
140,UAM-I,Iztapalapa,1,19.35118032,-99.07494245
141,Ecatepec,Ecatepec,1,19.51568362,-99.03597508
142,Acatitla,Iztapalapa,1,19.36489362,-99.00559799
143,Hospital 20 de Noviembre,Álvaro Obregón,1,19.37513809,-99.17138532
144,Eje Central,Cuauhtémoc,1,19.36149191,-99.15135573
145,Parque de los Venados,Benito Juárez,1,19.37089278,-99.15873073
146,San Lázaro,Cuauhtémoc,2,19.43218267,-99.11361413
147,Romero Rubio,Venustiano Carranza,1,19.44086402,-99.09457593
148,Villa de Aragón,Gustavo A. Madero,1,19.46182561,-99.06132922
149,Tepalcates,Venustiano Carranza,1,19.39150175,-99.04631455
150,Agrícola Oriental,Iztacalco,1,19.40480343,-99.06956552
151,Deportivo Oceanía,Venustiano Carranza,1,19.45256944,-99.07914353
152,Puebla,Venustiano Carranza,1,19.40725469,-99.08248352
153,Ciudad Deportiva,Iztacalco,1,19.40858411,-99.09127037
154,Mixiuhca,Venustiano Carranza,1,19.40860313,-99.11330192
155,Bosque de Aragón,Nezahualcóyotl,1,19.45827188,-99.0690585
156,Santa Marta,Iztapalapa,1,19.3604744,-98.9951561
157,Los Reyes,La Paz (Estado de México),1,19.35934185,-98.9768549
158,Constitución de 1917,Tláhuac,1,19.34627899,-99.06358403
159,Cuauhtémoc,Cuauhtémoc,1,19.42595841,-99.15460746
160,Mexicaltzingo,Iztapalapa,1,19.35802316,-99.12315073
161,Ricardo Flores Magón,Cuauhtémoc,1,19.43734392,-99.10374723
162,Lázaro Cárdenas,Cuauhtémoc,1,19.40722337,-99.14443376
