Valle Gómez,19.45910407,-99.11947723,,,,,
Politécnico,19.50080394,-99.14922687,,,,,
Niños Héroes,19.41958089,-99.15038,,,,,
Hospital General,19.413932,-99.15322855,,,,,
Tasqueña,19.34389508,-99.13948874,,,,,
Potrero,19.4773422,-99.1320093,,,,,
Tlatelolco,19.45522707,-99.14315382,,,,,
Balbuena,19.42354375,-99.10246987,,,,,
Tepito,19.44301632,-99.12417011,,,,,
Merced,19.42880238,-99.12514363,,,,,
Insurgentes,19.37636355,-99.17904072,,,,,
Juanacatlán,19.41316181,-99.18203426,,,,,
Plaza Aragón,19.52870985,-99.03017328,,,,,
Guelatao,19.38533627,-99.03562282,,,,,
Lagunilla,19.44378973,-99.13726807,,,,,
La Paz,19.35088633,-98.96100293,,,,,
Iztapalapa,19.35791341,-99.09330116,,,,,
Patriotismo,19.41373789,-99.17877289,,,,,
Cerro de la Estrella,19.35622206,-99.08562,,,,,
Zapotitlán,19.29699056,-99.03448011,,,,,
Nopalera,19.3002509,-99.04597223,,,,,
Olivos,19.304563,-99.05955292,,,,,
Río de los Remedios,19.49080734,-99.04651832,,,,,
Múzquiz,19.50172259,-99.04213438,,,,,
Atlalilco,19.35628,-99.10113398,,,,,
Tezonco,19.30647037,-99.06525227,,,,,
Impulsora,19.48579048,-99.04906459,,,,,
Escuadrón 201,19.36479434,-99.10921855,,,,,
Periférico Oriente,19.31770648,-99.0742148,,,,,
Iztacalco,19.38888283,-99.112122,,,,,
Tláhuac,19.28602612,-99.01397488,,,,,
UAM-I,19.35118032,-99.07494245,,,,,
Ecatepec,19.51568362,-99.03597508,,,,,
Acatitla,19.36489362,-99.00559799,,,,,
Hospital 20 de Noviembre,19.37513809,-99.17138532,,,,,
Eje Central,19.36149191,-99.15135573,,,,,
Parque de los Venados,19.37089278,-99.15873073,,,,,
San Lázaro,19.43218267,-99.11361413,,,,,
Romero Rubio,19.44086402,-99.09457593,,,,,
Villa de Aragón,19.46182561,-99.06132922,,,,,
Tepalcates,19.39150175,-99.04631455,,,,,
Agrícola Oriental,19.40480343,-99.06956552,,,,,
Deportivo Oceanía,19.45256944,-99.07914353,,,,,
Puebla,19.40725469,-99.08248352,,,,,
Ciudad Deportiva,19.40858411,-99.09127037,,,,,
Mixiuhca,19.40860313,-99.11330192,,,,,
Bosque de Aragón,19.45827188,-99.0690585,,,,,
Santa Marta,19.3604744,-98.9951561,,,,,
Los Reyes,19.35934185,-98.9768549,,,,,
Constitución de 1917,19.34627899,-99.06358403,,,,,
Cuauhtémoc,19.42595841,-99.15460746,,,,,
Mexicaltzingo,19.35802316,-99.12315073,,,,,
Ricardo Flores Magón,19.43734392,-99.10374723,,,,,
Lázaro Cárdenas,19.40722337,-99.14443376,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
